2019-03-24 01:39:19.739  INFO 28374 --- [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$67f61cee] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)

  .   ____          _            __ _ _
 /\\ / ___'_ __ _ _(_)_ __  __ _ \ \ \ \
( ( )\___ | '_ | '_| | '_ \/ _` | \ \ \ \
 \\/  ___)| |_)| | | | | || (_| |  ) ) ) )
  '  |____| .__|_| |_|_| |_\__, | / / / /
 =========|_|==============|___/=/_/_/_/
 :: Spring Boot ::        (v2.1.3.RELEASE)

2019-03-24 01:39:22.025  INFO 28374 --- [           main] com.doer.turbine.TurbineApplication      : The following profiles are active: default
2019-03-24 01:39:30.911  WARN 28374 --- [           main] o.s.boot.actuate.endpoint.EndpointId     : Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2019-03-24 01:39:33.753  INFO 28374 --- [           main] o.s.cloud.context.scope.GenericScope     : BeanFactory id=20a10feb-7d30-3b41-8ffe-6dfd070727db
2019-03-24 01:39:35.367  INFO 28374 --- [           main] trationDelegate$BeanPostProcessorChecker : Bean 'org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration' of type [org.springframework.cloud.autoconfigure.ConfigurationPropertiesRebinderAutoConfiguration$$EnhancerBySpringCGLIB$$67f61cee] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2019-03-24 01:39:44.180  INFO 28374 --- [           main] o.s.b.w.embedded.tomcat.TomcatWebServer  : Tomcat initialized with port(s): 8011 (http)
2019-03-24 01:39:45.909  INFO 28374 --- [           main] o.apache.catalina.core.StandardService   : Starting service [Tomcat]
2019-03-24 01:39:45.910  INFO 28374 --- [           main] org.apache.catalina.core.StandardEngine  : Starting Servlet engine: [Apache Tomcat/9.0.16]
2019-03-24 01:39:46.671  INFO 28374 --- [           main] o.a.catalina.core.AprLifecycleListener   : The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [/Users/app/Library/Java/Extensions:/Library/Java/Extensions:/Network/Library/Java/Extensions:/System/Library/Java/Extensions:/usr/lib/java:.]
2019-03-24 01:39:49.451  INFO 28374 --- [           main] o.a.c.c.C.[Tomcat].[localhost].[/]       : Initializing Spring embedded WebApplicationContext
2019-03-24 01:39:49.452  INFO 28374 --- [           main] o.s.web.context.ContextLoader            : Root WebApplicationContext: initialization completed in 27117 ms
2019-03-24 01:39:52.531  WARN 28374 --- [           main] c.n.c.sources.URLConfigurationSource     : No URLs will be polled as dynamic configuration sources.
2019-03-24 01:39:52.560  INFO 28374 --- [           main] c.n.c.sources.URLConfigurationSource     : To enable URLs as dynamic configuration sources, define System property archaius.configurationSource.additionalUrls or make config.properties available on classpath.
2019-03-24 01:39:53.047  INFO 28374 --- [           main] c.netflix.config.DynamicPropertyFactory  : DynamicPropertyFactory is initialized with configuration sources: com.netflix.config.ConcurrentCompositeConfiguration@2205a05d
